date,unvaccinated_individuals,fully_vaccinated_individuals,boosted_individuals,unvaccinated_compartment_total,fully_vaccinated_compartment_total,booster_vaccinated_compartment_total,percentage_unvaccinated_to_fully_vaccinated,percentage_fully_vaccinated_to_boosted,Total Cases,New Cases,Susceptible,Exposed,Infected,Hospitalized,Recovered,Deceased,Original Infected,inpatient_beds_used_covid,Total Recovered,Total Deaths,Susceptible_UV,Susceptible_FV,Susceptible_BV,Exposed_UV,Exposed_FV,Exposed_BV,Infected_UV,Infected_FV,Infected_BV,Hospitalized_UV,Hospitalized_FV,Hospitalized_BV,Recovered_UV,Recovered_FV,Recovered_BV,Deceased_UV,Deceased_FV,Deceased_BV
4/1/2021,13342860,3362056,0,15491653,3962075,0,0,0,1197391,9144,16223051,1306285,69397,5351,1798955,50691,69398,5352,1798956,50692,12681831,3541219,0,1021144,285140,0,64501,4896,0,5037,314,0,1672025,126930,0,47115,3576,0
4/2/2021,13168076,3714514,0,15127592,4326134,0,0.01309944,0,1212324,8099,16364237,1157000,70053,5294,1806380,50764,70054,5295,1806382,50766,12471518,3892718,0,881773,275226,0,65111,4942,0,4983,311,0,1657024,149356,0,47183,3581,0
4/3/2021,12961725,3901557,0,14906967,4546757,0,0.015670551,0,1226311,7893,16385773,1127571,69769,5092,1814671,50850,69770,5093,1814674,50853,12304573,4081199,0,846727,280843,0,64847,4922,0,4793,299,0,1638764,175907,0,47263,3587,0
4/4/2021,12829313,4025832,0,14761335,4692387,0,0.010215616,0,1246488,7391,16450096,1055857,68301,5193,1823353,50924,68302,5194,1823357,50928,12230519,4219576,0,785021,270835,0,63482,4819,0,4888,305,0,1630093,193260,0,47332,3592,0
4/5/2021,12762074,4091857,0,14684683,4769037,0,0.005241044,0,1261668,7068,16489171,1009714,67106,5375,1831348,51008,67107,5376,1831353,51013,12194152,4295018,0,746708,263005,0,62372,4734,0,5059,316,0,1628981,202367,0,47411,3597,0
4/6/2021,12696365,4151808,0,14613751,4839967,0,0.005148771,0,1275196,5820,16661637,831428,63617,5244,1840740,51054,63618,5245,1840746,51060,12261072,4400564,0,611836,219591,0,59129,4488,0,4936,308,0,1629324,211416,0,47454,3600,0
4/7/2021,12552526,4291740,0,14451043,5002673,0,0.011329148,0,1287593,7443,16422337,1063285,63056,5226,1848678,51136,63057,5227,1848685,51143,11948146,4474190,0,773597,289687,0,58607,4449,0,4919,307,0,1618243,230435,0,47531,3605,0
4/8/2021,12419378,4404749,0,14314273,5139441,0,0.010607267,0,1301191,8823,16216371,1260428,65133,5174,1855418,51192,65134,5175,1855426,51200,11685605,4530765,0,908271,352156,0,60594,4539,0,4870,304,0,1607349,248069,0,47584,3608,0
4/9/2021,12253878,4541344,0,14147130,5306582,0,0.013325949,0,1314916,9163,16158636,1309000,65803,5039,1863969,51267,65804,5040,1863978,51276,11507422,4651213,0,932208,376791,0,61218,4585,0,4743,296,0,1593885,270084,0,47654,3613,0
4/10/2021,12074781,4696961,0,13959228,5494482,0,0.014615536,0,1328973,7226,16428125,1032285,64083,4841,1873043,51335,64084,4842,1873053,51345,11542983,4885141,0,725320,306964,0,59618,4465,0,4557,284,0,1579032,294011,0,47718,3617,0
4/11/2021,11926321,4833937,0,13796474,5657234,0,0.012295047,0,1344365,6849,16475133,978428,62747,4927,1881063,51412,62748,4928,1881074,51423,11439237,5035895,0,679355,299072,0,58375,4372,0,4638,289,0,1567079,313984,0,47790,3622,0
4/12/2021,11822773,4931444,0,13681196,5772510,0,0.008682309,0,1357440,5298,16691406,756857,60115,4964,1888872,51494,60116,4965,1888884,51506,11490947,5200458,0,521046,235810,0,55926,4189,0,4672,292,0,1560738,328134,0,47867,3627,0
4/13/2021,11710579,5035736,0,13557316,5896388,0,0.009489652,0,1370149,5212,16698480,744571,58026,4874,1896212,51543,58027,4875,1896225,51556,11390197,5308282,0,507879,236691,0,53983,4043,0,4588,286,0,1552756,343456,0,47913,3630,0
4/14/2021,11597262,5137853,0,13434599,6019103,0,0.009676464,0,1383162,6417,16519920,916714,57436,4813,1903194,51627,57437,4814,1903208,51641,11164862,5355057,0,619554,297159,0,53434,4002,0,4530,283,0,1544227,358967,0,47992,3635,0
4/15/2021,11485388,5238268,0,13313612,6140088,0,0.009646587,0,1394675,7151,16407912,1021571,58882,4698,1908949,51690,58883,4699,1908964,51705,10987859,5420052,0,684113,337457,0,54509,4373,0,4422,276,0,1534658,374291,0,48051,3639,0
